epoch number,test number,l,N,G,Pm,Pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.092687985,0.042928048,0.045924639,0.053190449,7.54E-05,0.022205653,0.000302603,0.092407064,5.85E-09,0.004066498,0.002327884,0.362627308,0.031687032,0.368462844,0.040048631,0.031713567,0.003330144,0.002227867,0.058195327,0.000653834,0.045805256,0.001242698,0.026912301,0.036665568,0.019226213,0.358329061,0.013930374,0.403946487,3.76E-05,0.000227071,0.000913534,0.230184093,0.042661451,0.050683344,0.034323727,0.001203174,0.000737802,0.005945195,0.03621333,0.000175271,6.61E-05,0.00684291,0.594162021,0.0065443,0.356994349,0.265440759,0.552200284,3.86E-05,8.07E-06,0.000144475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bestfitness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.756281427,0.197674888,0.081485999,0.126643548,0.001250352,0.042735029,0.000605203,0.092407064,5.85E-09,0.004399269,0.004844875,0.787900382,0.649874304,0.695356636,0.75988648,0.063418507,0.006325539,0.005063334,0.060459187,0.010725209,0.160923091,0.031067447,0.058963588,0.07051052,0.326664617,0.829658332,0.04877082,0.91091275,3.76E-05,0.000227071,0.000913534,0.230184093,0.522932022,0.057429354,0.068646853,0.002233582,0.03688394,0.07431494,0.07356453,0.002943257,9.05E-05,0.09570073,0.721836447,0.228440056,0.843310465,0.519723965,0.982604625,0.000964368,8.07E-06,0.000144475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numcorrectbits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,27,28,21,20,19,27,25,23,28,27,23,27,29,28,21,29,24,24,23,31,20,24,25,24,26,35,26,24,26,26,20,21,28,30,24,24,28,21,24,22,25,19,22,22,26,20,31,28,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epoch number,test number,l,N,G,Pm,Pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,50,50,50,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
